,NU_IDADE,NOTA_MEDIA,sexo,raca,natureza,pai,mae,renda
304,18,624.3,1,branca,publica,4,2,G
305,17,627.66,0,branca,privada,4,4,J
306,17,525.88,0,parda,publica,3,2,A
307,17,581.58,1,branca,publica,2,4,H
308,17,517.06,0,parda,publica,3,3,C
309,17,500.08,0,branca,publica,3,2,E
310,18,556.84,1,amarela,publica,2,3,E
311,17,633.28,1,preta,publica,3,3,C
312,17,570.74,1,parda,publica,4,4,E
313,17,580.28,0,branca,privada,5,2,J
314,17,535,0,branca,privada,4,4,D
315,18,695.72,0,branca,publica,5,4,N
316,17,568.7,0,branca,publica,3,3,E
317,17,554.58,0,branca,publica,4,2,E
318,17,516.7,1,branca,publica,2,2,G
319,18,525.12,1,branca,publica,2,2,C
320,17,530.74,1,branca,publica,5,3,F
321,18,599.18,0,branca,publica,3,3,D
322,17,541.54,0,branca,publica,4,4,G
323,17,645.58,1,branca,privada,3,4,I
324,17,546.88,1,parda,publica,3,2,E
325,17,532.66,1,branca,publica,3,3,D
326,17,580.98,0,branca,privada,4,2,D
327,19,435.96,0,preta,publica,3,3,F
328,17,440.94,0,branca,publica,4,4,C
329,17,567.76,0,parda,publica,3,2,E
330,17,530.14,1,parda,publica,2,2,E
331,17,513,0,parda,publica,3,3,E
332,18,528.68,1,branca,publica,3,3,H
333,17,585.36,1,branca,publica,3,2,D
334,17,501.76,0,preta,publica,4,2,F
335,17,461.14,1,branca,publica,3,3,F
336,17,696.7,0,branca,privada,2,4,N
337,17,703.1,1,branca,privada,5,5,P
338,19,542.84,0,branca,publica,3,2,J
339,18,480.2,1,preta,publica,2,2,D
340,18,624.56,0,branca,publica,4,4,P
341,17,556.76,1,parda,publica,4,4,G
342,17,609.52,0,branca,privada,5,4,N
343,17,607.16,1,branca,publica,3,3,E
344,17,551.6,1,parda,publica,4,4,H
345,17,592.6,1,branca,privada,4,4,H
346,18,707.14,0,branca,privada,3,4,H
347,17,563.52,0,parda,publica,3,4,P
348,17,581.12,0,parda,publica,4,3,E
349,18,565.34,1,branca,publica,4,2,G
350,17,603.68,0,amarela,publica,3,5,H
351,18,536.68,1,preta,publica,3,4,F
352,17,533.86,0,branca,publica,4,4,I
353,17,538.54,1,branca,publica,3,3,C
354,18,637.72,0,branca,privada,4,4,K
355,18,584.46,0,branca,publica,2,4,I
356,19,553.22,1,branca,privada,5,4,O
357,17,546.68,0,branca,publica,4,3,C
358,17,437.62,0,branca,publica,3,3,D
359,17,440.46,1,branca,publica,3,3,C
360,18,527.48,1,parda,publica,3,2,C
361,17,657.5,1,branca,privada,4,5,H
362,18,618.94,0,branca,privada,4,5,J
363,18,435.92,1,branca,publica,5,5,C
364,18,523.7,0,branca,publica,4,3,G
365,17,542.82,1,branca,publica,2,4,G
366,18,600.76,1,branca,privada,4,4,N
367,17,472.76,1,parda,publica,2,2,C
368,17,467.5,1,parda,publica,3,2,G
369,17,483.08,1,branca,publica,4,2,F
370,18,522.46,1,branca,publica,3,2,F
371,17,461.78,1,branca,publica,3,2,D
372,18,535.44,0,parda,publica,4,4,C
373,17,473.1,0,preta,publica,2,2,C
374,16,591.78,0,branca,privada,4,2,J
375,18,525.3,0,preta,publica,3,2,D
376,17,444.62,1,parda,publica,3,2,B
377,18,504.74,1,branca,publica,3,2,D
378,17,522.22,1,branca,publica,3,2,F
379,17,699.1,0,branca,privada,4,3,J
380,18,499.34,1,branca,publica,2,2,C
381,17,470.76,1,branca,publica,2,2,C
382,17,466.94,1,branca,publica,4,4,G
383,17,495.34,1,branca,publica,4,4,D
384,20,483,1,branca,publica,4,4,C
385,17,585.72,1,branca,privada,5,4,P
386,18,581.6,1,branca,publica,3,2,H
387,17,562.48,1,parda,publica,4,4,E
388,17,529.9,1,branca,publica,2,2,E
389,18,583.22,1,parda,publica,3,2,G
390,17,580.22,0,branca,publica,3,2,E
391,17,483.94,1,branca,publica,2,2,G
392,17,696.06,1,branca,privada,4,5,P
393,17,515.88,0,branca,publica,3,2,B
394,18,419.66,1,branca,publica,4,4,C
395,17,562.6,0,branca,privada,4,4,H
396,18,619.18,1,branca,exterior,3,4,H
397,17,460.12,1,branca,publica,2,2,B
398,17,604.68,0,branca,publica,3,1,D
399,17,599.2,1,parda,publica,3,2,D
400,17,572.4,1,parda,publica,4,2,H
401,17,711.4,1,branca,exterior,4,5,L
